cell,s_start_m,s_end_m,s_centre_m,cell_size_m
1,0.0,51.93755856411478,25.96877928205739,51.93755856411478
2,51.93755856411478,103.87511713084268,77.90633784747874,51.9375585667279
3,103.87511713084268,155.81267570143606,129.8438964161394,51.93755857059338
4,155.81267570143606,207.75023427772715,181.78145498958162,51.93755857629108
5,207.75023427772715,259.68779286238697,233.71901357005706,51.937558584659826
6,259.68779286238697,311.62535145929525,285.6565721608411,51.937558596908275
7,311.62535145929525,363.5629100740666,337.5941307666809,51.937558614771376
8,363.5629100740666,415.50046871479697,389.5316893944318,51.937558640730344
9,415.50046871479697,467.43802739311775,441.46924805395736,51.937558678320784
10,467.43802739311775,519.3755861256789,493.4068067593983,51.937558732561115
11,519.3755861256789,571.3131449362272,545.344365530953,51.93755881054835
12,571.3131449362272,623.2507038585074,597.2819243973673,51.93755892228023
13,623.2507038585074,675.188262940297,649.2194833994022,51.93755908178957
14,675.188262940297,727.1258222489928,701.157042594645,51.93755930869577
15,727.1258222489928,779.0633818793212,753.094602064157,51.93755963032845
16,779.0633818793212,831.0009419639307,805.032161921626,51.93756008460946
17,831.0009419639307,882.9385026878923,856.9697223259116,51.93756072396161
18,882.9385026878923,934.8760643084664,908.9072834981794,51.937561620574115
19,934.8760643084664,986.8136271819474,960.8448457452068,51.93756287348094
20,986.8136271819474,1038.7511917999661,1012.7824094909568,51.93756461801877
21,1038.7511917999661,1090.6887588383963,1064.7199753191812,51.93756703843019
22,1090.6887588383963,1142.6263292229664,1116.6575440306815,51.93757038457011
23,1142.6263292229664,1194.5639042169341,1168.5951167199503,51.9375749939677
24,1194.5639042169341,1246.5014855377638,1220.532694877349,51.93758132082962
25,1246.5014855377638,1298.439075511771,1272.4702805247675,51.937589974007324
26,1298.439075511771,1350.3766772782524,1324.4078763950117,51.93760176648129
27,1350.3766772782524,1402.3142950578242,1376.3454861680384,51.93761777957184
28,1402.3142950578242,1454.2519345037163,1428.2831147807701,51.937639445892046
29,1454.2519345037163,1506.1896031597569,1480.2207688317367,51.937668656040614
30,1506.1896031597569,1558.1273110549616,1532.1584571073593,51.93770789520477
31,1558.1273110549616,1610.065071472239,1584.0961912636003,51.93776041727733
32,1610.065071472239,1662.0029019380047,1636.0339867051218,51.93783046576573
33,1662.0029019380047,1713.940825490794,1687.9718637143992,51.93792355278924
34,1713.940825490794,1765.8788723005791,1739.9098488956865,51.93804680978519
35,1765.8788723005791,1817.8170817268697,1791.8479770137244,51.93820942629054
36,1817.8170817268697,1869.7555049231682,1843.786293325019,51.93842319629857
37,1869.7555049231682,1921.694208118461,1895.7248565208147,51.938703195292646
38,1921.694208118461,1973.6332767335728,1947.6637424260168,51.939068615111864
39,1973.6332767335728,2025.5728205219268,1999.6030486277498,51.93954378835406
40,2025.5728205219268,2077.512979960964,2051.5429002414453,51.94015943903719
41,2077.512979960964,2129.4539341626573,2103.4834570618104,51.94095420169333
42,2129.4539341626573,2181.3959106196166,2155.424922391137,51.94197645695931
43,2181.3959106196166,2233.3391971574993,2207.367553888558,51.943286537882614
44,2233.3391971574993,2285.2841565250146,2259.311676841257,51.94495936751537
45,2285.2841565250146,2337.2312441198374,2311.257700322426,51.94708759482273
46,2337.2312441198374,2389.1810294218485,2363.206136770843,51.94978530201115
47,2389.1810294218485,2441.1342217840656,2415.157625602957,51.95319236221712
48,2441.1342217840656,2493.091701315342,2467.112961549704,51.957479531276476
49,2493.091701315342,2545.054555676375,2519.0731284958583,51.962854361032896
50,2545.054555676375,2597.0241236999236,2571.039339688149,51.96956802354862
51,2597.0241236999236,2649.0020468351995,2623.0130852675616,51.97792313527589
52,2649.0020468351995,2700.990329502289,2674.996188168744,51.98828266708961
53,2700.990329502289,2752.991409521617,2726.990869511953,52.001080019327674
54,2752.991409521617,2805.008239851681,2778.999824686649,52.016830330064295
55,2805.008239851681,2857.0443829205456,2831.0263113861133,52.036143068864476
56,2857.0443829205456,2909.1041188672057,2883.0742508938756,52.05973594666011
57,2909.1041188672057,2961.192569011542,2935.148343939374,52.08845014433655
58,2961.192569011542,3013.315835839119,2987.2542024253307,52.12326682757657
59,3013.315835839119,3065.481160712059,3039.398498275589,52.165324872940346
60,3065.481160712059,3117.697100391826,3091.5891305519426,52.21593967976696
61,3117.697100391826,3169.9737232759176,3143.835411833872,52.276622884091466
62,3169.9737232759176,3222.3228260005535,3196.1482746382353,52.34910272463594
63,3222.3228260005535,3274.7581707380446,3248.540498369299,52.43534473749105
64,3274.7581707380446,3327.2957431143154,3301.02695692618,52.53757237627087
65,3327.2957431143154,3379.9540301840098,3353.6248866491624,52.658287069694325
66,3379.9540301840098,3432.7543173244753,3406.3541737542428,52.80028714046557
67,3432.7543173244753,3485.721002244846,3459.2376597846605,52.96668492037088
68,3485.721002244846,3538.8819235544584,3512.3014628996525,53.16092130961215
69,3538.8819235544584,3592.268700501194,3565.575312027826,53.38677694673561
70,3592.268700501194,3645.917079584416,3619.0928900428053,53.64837908322215
71,3645.917079584416,3699.8672827821947,3672.892181183305,53.95020319777859
72,3699.8672827821947,3754.1643511267544,3727.0158169544748,54.29706834455965
73,3754.1643511267544,3808.858476338056,3781.5114137324053,54.694125211301525
74,3808.858476338056,3864.0053122108466,3836.431894274451,55.14683587279069
75,3864.0053122108466,3919.6662564773287,3891.8357843440876,55.66094426648215
76,3919.6662564773287,3975.90869297218,3947.7874747247542,56.24243649485106
77,3975.90869297218,4032.806183148778,4004.3574380604787,56.89749017659824
78,4032.806183148778,4090.438595377637,4061.6223892632074,57.63241222885881
79,4090.438595377637,4148.892160044223,4119.6653777109295,58.45356466658586
80,4148.892160044223,4208.259438297595,4178.575799170909,59.367278253372206
81,4208.259438297595,4268.639192426254,4238.449315361924,60.37975412865944
82,4268.639192426254,4330.136146292478,4299.387669359367,61.49695386622352
83,4330.136146292478,4392.860625075238,4361.498385683858,62.72447878276034
84,4392.860625075238,4456.928064781336,4424.894344928287,64.0674397060975
85,4456.928064781336,4522.458383601946,4489.69322419164,65.53031882060986
86,4522.458383601946,4589.575209223828,4556.016796412887,67.11682562188253
87,4589.575209223828,4658.404958644209,4623.990083934019,68.82974942038072
88,4658.404958644209,4729.075769864992,4693.7403642546005,70.67081122078343
89,4729.075769864992,4801.716288019343,4765.3960289421675,72.6405181543505
90,4801.716288019343,4876.454311959583,4839.085299989463,74.73802394024005
91,4876.454311959583,4953.415311042315,4914.934811500949,76.96099908273209
92,4953.415311042315,5032.720825701534,4993.068068371924,79.30551465921872
93,5032.720825701534,5114.486769306953,5073.603797504244,81.76594360541912
94,5114.486769306953,5198.821652654629,5156.654210980791,84.33488334767662
95,5198.821652654629,5285.824756113102,5242.323204383865,87.00310345847265
96,5285.824756113102,5375.584277828354,5330.704516970728,89.75952171525205
97,5375.584277828354,5468.175489350615,5421.879883589485,92.59121152226089
98,5468.175489350615,5563.658932464126,5515.917210907371,95.48344311351138
99,5563.658932464126,5662.078692763366,5612.868812613746,98.4197602992399
100,5662.078692763366,5763.460786523822,5712.769739643594,101.38209376045597
101,5763.460786523822,5867.811697576943,5815.636242050383,104.3509110531204
102,5867.811697576943,5975.117100152738,5921.46439886484,107.3054025757956
103,5975.117100152738,6085.340801960125,6030.2289510564315,110.22370180738653
